SRC_ADD,DES_ADD,PKT_ID,FROM_NODE,TO_NODE,PKT_TYPE,PKT_SIZE,FLAGS,FID,SEQ_NUMBER,NUMBER_OF_PKT,NUMBER_OF_BYTE,NODE_NAME_FROM,NODE_NAME_TO,PKT_IN,PKT_OUT,PKT_R,PKT_DELAY_NODE,PKT_RATE,BYTE_RATE,PKT_AVG_SIZE,UTILIZATION,PKT_DELAY,PKT_SEND_TIME,PKT_RESEVED_TIME,FIRST_PKT_SENT,LAST_PKT_RESEVED,PKT_CLASS
1.0,24.1,327649.0,1.0,21.0,b'tcp',1540.0,b'-------',2.0,9777.0,16091.0,24780100.0,b'clien-1',b'Switch1',30.759767,30.759767,30.76989,0.0,328.297855,505578.0,1540.0,0.236321,0.0,30.759767,30.790137,1.0,50.013418,b'Normal'
6.0,24.6,464422.0,21.0,23.0,b'tcp',1540.0,b'-------',7.0,13211.0,16091.0,24780100.0,b'Switch1',b'Router',41.262032,41.262032,41.272155,0.0,328.192835,505416.0,1540.0,0.236321,0.0,41.251909,41.282279,1.0,50.029102,b'Normal'
24.4,4.0,77103.0,23.0,21.0,b'ack',55.0,b'-------',5.0,2394.0,16091.0,885005.0,b'Router',b'Switch1',8.479837,8.479837,8.48984,0.0,328.218006,18052.0,55.0,0.00844,0.0,8.469834,8.499843,1.030035,50.055377,b'Normal'
24.2,2.0,161645.0,24.0,23.0,b'ack',55.0,b'-------',3.0,5033.0,16091.0,885005.0,b'server1',b'Router',16.433728,16.433728,16.443731,0.0,328.26412,18054.5,55.0,0.00844,0.0,16.433728,16.463738,1.030022,50.048477,b'Normal'
26.0,25.1,54685.0,26.0,25.0,b'tcp',576.0,b'-------',1.0,2936745.0,5628.0,3241120.0,b'webserverlistin',b'webcache',51.9748,52.089264,52.12848,0.114464,658.090443,378989.000956,575.891969,0.03091,0.15368,51.9748,52.12848,1.447776,9.999792,b'Normal'
3.0,24.3,274245.0,21.0,23.0,b'tcp',1540.0,b'-------',4.0,8430.0,16091.0,24780100.0,b'Switch1',b'Router',26.67396,26.67396,26.684083,0.0,328.240918,505490.0,1540.0,0.236321,0.0,26.663837,26.694206,1.0,50.02192,b'Normal'
5.0,24.5,301282.0,5.0,21.0,b'tcp',1540.0,b'-------',6.0,9106.0,16091.0,24780100.0,b'clien-5',b'Switch1',28.736482,28.736482,28.746605,0.0,328.204637,505434.0,1540.0,0.236321,0.001723,28.736482,28.768574,1.0,50.027339,b'Normal'
1.1,24.21,613630.0,1.0,21.0,b'cbr',1000.0,b'-------',22.0,4862.0,6250.0,6250000.0,b'clien-1',b'Switch1',63.896,63.896,63.90608,0.0,124.944025,124944.0,1000.0,0.059605,0.00016,63.896,63.9264,25.0,75.0224,b'Normal'
24.7,7.0,542752.0,21.0,7.0,b'ack',55.0,b'-------',8.0,15181.0,16090.0,884950.0,b'Switch1',b'clien-7',47.27917,47.27917,47.289173,0.0,328.167767,18049.2,55.0,0.00844,0.0,47.259163,47.289173,1.030051,50.059851,b'Normal'
24.8,8.0,278459.0,21.0,8.0,b'ack',55.0,b'-------',9.0,8512.0,16088.0,884840.0,b'Switch1',b'clien-8',27.005235,27.005235,27.015238,0.0,328.113525,18046.2,55.0,0.008438,0.0,26.985229,27.015238,1.030054,50.061864,b'Normal'
14.0,24.14,290809.0,22.0,23.0,b'tcp',1540.0,b'-------',15.0,8850.0,16103.0,24798600.0,b'Switch2',b'Router',27.944347,27.944347,27.95447,0.0,328.431807,505785.0,1540.0,0.236498,0.0,27.934224,27.964594,1.0,50.029965,b'Normal'
11.0,24.11,310527.0,23.0,24.0,b'tcp',1540.0,b'-------',12.0,9348.0,16103.0,24798600.0,b'Router',b'server1',29.467078,29.467078,29.477202,0.0,328.522879,505925.0,1540.0,0.236498,0.0,29.446832,29.477202,1.0,50.016373,b'Normal'
13.0,24.13,14062.0,22.0,23.0,b'tcp',1540.0,b'-------',14.0,443.0,16103.0,24798600.0,b'Switch2',b'Router',2.544992,2.544992,2.555115,0.0,328.460131,505828.0,1540.0,0.236498,0.0,2.534869,2.565238,1.0,50.025737,b'Normal'
9.1,24.29,591377.0,21.0,23.0,b'cbr',1000.0,b'-------',30.0,3757.0,6250.0,6250000.0,b'Switch1',b'Router',55.06608,55.0668,55.07688,0.00072,124.940828,124941.0,1000.0,0.059605,0.00144,55.056,55.08768,25.0,75.02368,b'Normal'
9.2,24.51,71275.0,21.0,23.0,b'cbr',1500.0,b'-------',30.0,2732.0,9108.0,13662000.0,b'switch1',b'router',67.57036,67.5718,67.58192,0.00144,1016.496869,1524750.0,1500.0,0.130291,0.03372,67.56,67.59372,1.0,9.960185,b'UDP-Flood'
8.0,24.8,25786.0,21.0,23.0,b'tcp',1540.0,b'-------',9.0,810.0,16088.0,24775500.0,b'Switch1',b'Router',3.645739,3.645739,3.655862,0.0,328.11323,505294.0,1540.0,0.236278,0.0,3.635616,3.665986,1.0,50.031854,b'Normal'
19.1,24.39,602990.0,19.0,22.0,b'cbr',1000.0,b'-------',40.0,4332.0,6250.0,6250000.0,b'clien-19',b'Switch2',59.656,59.656,59.66608,0.0,124.940628,124941.0,1000.0,0.059605,0.00152,59.656,59.68776,25.0,75.02376,b'Normal'
8.0,24.8,78803.0,8.0,21.0,b'tcp',1540.0,b'-------',9.0,2461.0,16088.0,24775500.0,b'clien-8',b'Switch1',8.633045,8.633045,8.643168,0.0,328.11323,505294.0,1540.0,0.236278,0.0,8.633045,8.663414,1.0,50.031854,b'Normal'
8.0,24.8,553496.0,21.0,23.0,b'tcp',1540.0,b'-------',9.0,15457.0,16088.0,24775500.0,b'Switch1',b'Router',48.092658,48.092658,48.102781,0.0,328.11323,505294.0,1540.0,0.236278,0.000765,48.082535,48.113669,1.0,50.031854,b'Normal'
24.1,1.0,181756.0,23.0,21.0,b'ack',55.0,b'-------',2.0,5664.0,16091.0,885005.0,b'Router',b'Switch1',18.339556,18.339556,18.34956,0.0,328.297902,18056.4,55.0,0.00844,0.0,18.329553,18.359563,1.030016,50.043427,b'Normal'
16.1,24.36,621056.0,22.0,23.0,b'cbr',1000.0,b'-------',37.0,5231.0,6250.0,6250000.0,b'Switch2',b'Router',66.85808,66.85856,66.86864,0.00048,124.941827,124942.0,1000.0,0.059605,0.00104,66.848,66.87928,25.0,75.02328,b'Normal'
16.1,24.36,329867.0,23.0,24.0,b'cbr',1000.0,b'-------',37.0,741.0,6250.0,6250000.0,b'Router',b'server1',30.948642,30.949245,30.959325,0.000603,124.941827,124942.0,1000.0,0.059605,0.001085,30.928,30.959325,25.0,75.02328,b'Normal'
6.0,24.6,14015.0,21.0,23.0,b'tcp',1540.0,b'-------',7.0,440.0,16091.0,24780100.0,b'Switch1',b'Router',2.539078,2.539078,2.549202,0.0,328.192835,505416.0,1540.0,0.236321,0.0,2.528955,2.559325,1.0,50.029102,b'Normal'
24.11,11.0,475452.0,22.0,11.0,b'ack',55.0,b'-------',12.0,13492.0,16103.0,885665.0,b'Switch2',b'clien-11',42.117,42.117,42.127003,0.0,328.522947,18068.8,55.0,0.008446,0.0,42.096994,42.127003,1.030019,50.046382,b'Normal'
24.11,11.0,157316.0,24.0,23.0,b'ack',55.0,b'-------',12.0,4909.0,16103.0,885665.0,b'server1',b'Router',16.027462,16.027462,16.037466,0.0,328.522947,18068.8,55.0,0.008446,0.0,16.027462,16.057472,1.030019,50.046382,b'Normal'
15.2,24.57,66985.0,23.0,24.0,b'cbr',1500.0,b'-------',36.0,2435.0,8655.0,12982500.0,b'router',b'server1',63.565194,63.565554,63.575674,0.00036,962.684973,1444030.0,1500.0,0.123811,0.03096,63.544714,63.575674,1.0,9.99048,b'UDP-Flood'
24.1,1.0,103885.0,23.0,21.0,b'ack',55.0,b'-------',2.0,3232.0,16091.0,885005.0,b'Router',b'Switch1',11.00603,11.00603,11.016034,0.0,328.297902,18056.4,55.0,0.00844,0.0,10.996027,11.026037,1.030016,50.043427,b'Normal'
24.15,15.0,141884.0,22.0,15.0,b'ack',55.0,b'-------',16.0,4418.0,16092.0,885060.0,b'Switch2',b'clien-15',14.592653,14.592653,14.602657,0.0,328.206042,18051.3,55.0,0.008441,0.0,14.572647,14.602657,1.030045,50.060221,b'Normal'
25.1,26.0,40280.0,25.0,26.0,b'tcp',55.0,b'-------',1.0,44.0,5630.0,309650.0,b'webcache',b'webserverlistin',38.507232,38.507232,38.537872,0.0,656.270166,36094.9,55.0,0.002953,0.03064,38.507232,38.537872,1.417136,9.99592,b'Normal'
10.1,24.3,637368.0,22.0,23.0,b'cbr',1000.0,b'-------',31.0,6040.0,6250.0,6250000.0,b'Switch2',b'Router',73.33008,73.33008,73.34016,0.0,124.944225,124944.0,1000.0,0.059605,8e-05,73.32,73.35032,25.0,75.02232,b'Normal'
2.0,24.2,334882.0,21.0,23.0,b'tcp',1540.0,b'-------',3.0,9962.0,16091.0,24780100.0,b'Switch1',b'Router',31.322726,31.32325,31.333373,0.000524,328.26404,505526.0,1540.0,0.236321,0.001724,31.312603,31.344696,1.0,50.018467,b'Normal'
2.0,24.2,199186.0,23.0,24.0,b'tcp',1540.0,b'-------',3.0,6219.0,16091.0,24780100.0,b'Router',b'server1',19.987456,19.987456,19.997579,0.0,328.26404,505526.0,1540.0,0.236321,0.0,19.96721,19.997579,1.0,50.018467,b'Normal'
5.1,24.25,407319.0,23.0,24.0,b'cbr',1000.0,b'-------',26.0,1484.0,6250.0,6250000.0,b'Router',b'server1',36.892584,36.893107,36.903187,0.000523,124.942427,124942.0,1000.0,0.059605,0.000947,36.872,36.903187,25.0,75.02304,b'Normal'
0.0,24.0,435607.0,23.0,24.0,b'tcp',1540.0,b'-------',1.0,12492.0,16091.0,24780100.0,b'Router',b'server1',39.06143,39.062477,39.0726,0.001047,328.316229,505606.0,1540.0,0.236321,0.001724,39.040507,39.0726,1.0,50.010675,b'Normal'
5.0,24.5,359224.0,5.0,21.0,b'tcp',1540.0,b'-------',6.0,10566.0,16091.0,24780100.0,b'clien-5',b'Switch1',33.18237,33.18237,33.192494,0.0,328.204637,505434.0,1540.0,0.236321,0.0,33.18237,33.21274,1.0,50.027339,b'Normal'
24.14,14.0,179682.0,24.0,23.0,b'ack',55.0,b'-------',15.0,5594.0,16103.0,885665.0,b'server1',b'Router',18.130998,18.130998,18.141002,0.0,328.432001,18063.8,55.0,0.008446,0.0,18.130998,18.161008,1.030038,50.059974,b'Normal'
3.0,24.3,429374.0,3.0,21.0,b'tcp',1540.0,b'-------',4.0,12336.0,16091.0,24780100.0,b'clien-3',b'Switch1',38.563528,38.563528,38.573651,0.0,328.240918,505490.0,1540.0,0.236321,0.0,38.563528,38.593898,1.0,50.02192,b'Normal'
19.1,24.39,599326.0,23.0,24.0,b'cbr',1000.0,b'-------',40.0,4151.0,6250.0,6250000.0,b'Router',b'server1',58.22888,58.22968,58.23976,0.0008,124.940628,124941.0,1000.0,0.059605,0.00152,58.208,58.23976,25.0,75.02376,b'Normal'
14.0,24.14,491986.0,14.0,22.0,b'tcp',1540.0,b'-------',15.0,13917.0,16103.0,24798600.0,b'clien-14',b'Switch2',43.367815,43.367815,43.377938,0.0,328.431807,505785.0,1540.0,0.236498,0.0,43.367815,43.398184,1.0,50.029965,b'Normal'
3.1,24.23,629638.0,23.0,24.0,b'cbr',1000.0,b'-------',24.0,5657.0,6250.0,6250000.0,b'Router',b'server1',70.2764,70.27664,70.28672,0.00024,124.943226,124943.0,1000.0,0.059605,0.00048,70.256,70.28672,25.0,75.02272,b'Normal'
24.1,10.0,82282.0,22.0,10.0,b'ack',55.0,b'-------',11.0,2566.0,16103.0,885665.0,b'Switch2',b'clien-10',8.979526,8.979526,8.98953,0.0,328.561918,18070.9,55.0,0.008446,0.0,8.95952,8.98953,1.030013,50.040562,b'Normal'
13.0,24.13,149327.0,13.0,22.0,b'tcp',1540.0,b'-------',14.0,4665.0,16103.0,24798600.0,b'clien-13',b'Switch2',15.276238,15.276238,15.286362,0.0,328.460131,505828.0,1540.0,0.236498,0.0,15.276238,15.306608,1.0,50.025737,b'Normal'
24.7,7.0,76083.0,23.0,21.0,b'ack',55.0,b'-------',8.0,2367.0,16090.0,884950.0,b'Router',b'Switch1',8.384088,8.384088,8.394091,0.0,328.167767,18049.2,55.0,0.00844,0.0,8.374085,8.404094,1.030051,50.059851,b'Normal'
9.1,24.29,448733.0,9.0,21.0,b'cbr',1000.0,b'-------',30.0,1881.0,6250.0,6250000.0,b'clien-9',b'Switch1',40.048,40.048005,40.058085,5e-06,124.940828,124941.0,1000.0,0.059605,0.001611,40.048,40.079851,25.0,75.02368,b'Normal'
1.0,24.1,75385.0,23.0,24.0,b'tcp',1540.0,b'-------',2.0,2356.0,16091.0,24780100.0,b'Router',b'server1',8.330205,8.330205,8.340328,0.0,328.297855,505578.0,1540.0,0.236321,0.0,8.309958,8.340328,1.0,50.013418,b'Normal'
5.0,24.5,466444.0,23.0,24.0,b'tcp',1540.0,b'-------',6.0,13268.0,16091.0,24780100.0,b'Router',b'server1',41.427904,41.427904,41.438027,0.0,328.204637,505434.0,1540.0,0.236321,0.0,41.407658,41.438027,1.0,50.027339,b'Normal'
24.13,13.0,355930.0,22.0,13.0,b'ack',55.0,b'-------',14.0,10473.0,16103.0,885665.0,b'Switch2',b'clien-13',32.948194,32.948194,32.958197,0.0,328.460278,18065.3,55.0,0.008446,0.0,32.928187,32.958197,1.030032,50.055747,b'Normal'
24.3,3.0,333374.0,21.0,3.0,b'ack',55.0,b'-------',4.0,9903.0,16091.0,885005.0,b'Switch1',b'clien-3',31.217962,31.217962,31.227965,0.0,328.241051,18053.3,55.0,0.00844,0.0,31.197955,31.227965,1.030029,50.051929,b'Normal'
24.3,3.0,372316.0,23.0,21.0,b'ack',55.0,b'-------',4.0,10890.0,16091.0,885005.0,b'Router',b'Switch1',34.196156,34.196156,34.206159,0.0,328.241051,18053.3,55.0,0.00844,0.0,34.186153,34.216162,1.030029,50.051929,b'Normal'
3.0,24.3,338538.0,21.0,23.0,b'tcp',1540.0,b'-------',4.0,10045.0,16091.0,24780100.0,b'Switch1',b'Router',31.604564,31.604564,31.614687,0.0,328.240918,505490.0,1540.0,0.236321,7e-06,31.594441,31.624817,1.0,50.02192,b'Normal'
5.1,24.25,428802.0,23.0,24.0,b'cbr',1000.0,b'-------',26.0,1690.0,6250.0,6250000.0,b'Router',b'server1',38.540655,38.541258,38.551338,0.000603,124.942427,124942.0,1000.0,0.059605,0.001098,38.52,38.551338,25.0,75.02304,b'Normal'
14.0,24.14,57583.0,23.0,24.0,b'tcp',1540.0,b'-------',15.0,1800.0,16103.0,24798600.0,b'Router',b'server1',6.649936,6.649936,6.660059,0.0,328.431807,505785.0,1540.0,0.236498,0.0,6.62969,6.660059,1.0,50.029965,b'Normal'
8.2,24.5,2811.0,23.0,24.0,b'cbr',1500.0,b'-------',29.0,111.0,9108.0,13662000.0,b'router',b'server1',3.655543,3.657703,3.667823,0.00216,1016.516723,1524780.0,1500.0,0.130291,0.03468,3.633143,3.667823,1.0,9.96001,b'UDP-Flood'
11.2,24.53,39396.0,22.0,23.0,b'cbr',1500.0,b'-------',32.0,1507.0,9108.0,13662000.0,b'switch2',b'router',37.727954,37.728554,37.738674,0.0006,1016.449678,1524670.0,1500.0,0.130291,0.03192,37.717714,37.749634,1.0,9.960601,b'UDP-Flood'
12.2,24.54,70879.0,12.0,22.0,b'cbr',1500.0,b'-------',33.0,2577.0,8655.0,12982500.0,b'client-12',b'switch2',67.140714,67.140954,67.151074,0.00024,962.684973,1444030.0,1500.0,0.123811,0.032591,67.140714,67.173305,1.0,9.99048,b'UDP-Flood'
18.1,24.38,620938.0,22.0,23.0,b'cbr',1000.0,b'-------',39.0,5225.0,6250.0,6250000.0,b'Switch2',b'Router',66.81008,66.81072,66.8208,0.00064,124.941028,124941.0,1000.0,0.059605,0.00136,66.8,66.8316,25.0,75.0236,b'Normal'
14.0,24.14,133179.0,22.0,23.0,b'tcp',1540.0,b'-------',15.0,4153.0,16103.0,24798600.0,b'Switch2',b'Router',13.762957,13.762957,13.77308,0.0,328.431807,505785.0,1540.0,0.236498,0.0,13.752834,13.783203,1.0,50.029965,b'Normal'
24.8,8.0,176549.0,21.0,8.0,b'ack',55.0,b'-------',9.0,5491.0,16088.0,884840.0,b'Switch1',b'clien-8',17.859214,17.859214,17.869218,0.0,328.113525,18046.2,55.0,0.008438,0.0,17.839208,17.869218,1.030054,50.061864,b'Normal'
19.1,24.39,328508.0,19.0,22.0,b'cbr',1000.0,b'-------',40.0,728.0,6250.0,6250000.0,b'clien-19',b'Switch2',30.824,30.824,30.83408,0.0,124.940628,124941.0,1000.0,0.059605,0.00133,30.824,30.85557,25.0,75.02376,b'Normal'
12.1,24.32,471571.0,12.0,22.0,b'cbr',1000.0,b'-------',33.0,2100.0,6250.0,6250000.0,b'clien-12',b'Switch2',41.8,41.8,41.81008,0.0,124.943426,124943.0,1000.0,0.059605,0.000467,41.8,41.830707,25.0,75.02264,b'Normal'
4.0,24.4,255617.0,4.0,21.0,b'tcp',1540.0,b'-------',5.0,7951.0,16091.0,24780100.0,b'clien-4',b'Switch1',25.23017,25.23017,25.240293,0.0,328.217832,505455.0,1540.0,0.236321,0.0,25.23017,25.260539,1.0,50.025368,b'Normal'
5.0,24.5,480752.0,23.0,24.0,b'tcp',1540.0,b'-------',6.0,13629.0,16091.0,24780100.0,b'Router',b'server1',42.525344,42.526514,42.536637,0.00117,328.204637,505434.0,1540.0,0.236321,0.001724,42.504544,42.536637,1.0,50.027339,b'Normal'
16.2,24.58,76203.0,22.0,23.0,b'cbr',1500.0,b'-------',37.0,2926.0,9108.0,13662000.0,b'switch2',b'router',72.251743,72.254503,72.264623,0.00276,1016.430848,1524650.0,1500.0,0.130291,0.036877,72.241143,72.27802,1.0,9.960767,b'UDP-Flood'
0.0,24.0,387695.0,21.0,23.0,b'tcp',1540.0,b'-------',1.0,11290.0,16091.0,24780100.0,b'Switch1',b'Router',35.376623,35.376623,35.386746,0.0,328.316229,505606.0,1540.0,0.236321,0.0,35.366499,35.396869,1.0,50.010675,b'Normal'
18.2,24.6,1382.0,18.0,22.0,b'cbr',1500.0,b'-------',39.0,53.0,8655.0,12982500.0,b'client-18',b'switch2',2.284286,2.284646,2.294766,0.00036,962.684973,1444030.0,1500.0,0.123811,0.03331,2.284286,2.317596,1.0,9.99048,b'UDP-Flood'
24.9,9.0,178041.0,21.0,9.0,b'ack',55.0,b'-------',10.0,5547.0,16085.0,884675.0,b'Switch1',b'clien-9',17.996524,17.996524,18.006528,0.0,328.064183,18043.5,55.0,0.008437,0.0,17.976518,18.006528,1.030058,50.060098,b'Normal'
2.1,24.22,630646.0,21.0,23.0,b'cbr',1000.0,b'-------',23.0,5707.0,6250.0,6250000.0,b'Switch1',b'Router',70.66608,70.66624,70.67632,0.00016,124.943625,124944.0,1000.0,0.059605,0.00032,70.656,70.68656,25.0,75.02256,b'Normal'
24.9,9.0,222771.0,23.0,21.0,b'ack',55.0,b'-------',10.0,6935.0,16085.0,884675.0,b'Router',b'Switch1',22.199846,22.199846,22.20985,0.0,328.064183,18043.5,55.0,0.008437,0.0,22.189843,22.219853,1.030058,50.060098,b'Normal'
24.14,13.0,55938.0,23.0,22.0,b'tcp',64.0,b'-------',0.0,-1.0,210.0,13440.0,b'router',b'switch2',53.092433,53.092433,53.102438,0.0,23.255775,1488.369621,64.0,0.000128,0.030015,53.082428,53.112443,0.082428,9.112443,b'Normal'
24.13,13.0,109254.0,23.0,22.0,b'ack',55.0,b'-------',14.0,3403.0,16103.0,885665.0,b'Router',b'Switch2',11.511979,11.511979,11.521982,0.0,328.460278,18065.3,55.0,0.008446,0.0,11.501976,11.531986,1.030032,50.055747,b'Normal'
18.1,24.38,348510.0,18.0,22.0,b'cbr',1000.0,b'-------',39.0,920.0,6250.0,6250000.0,b'clien-18',b'Switch2',32.36,32.36,32.37008,0.0,124.941028,124941.0,1000.0,0.059605,0.001205,32.36,32.391445,25.0,75.0236,b'Normal'
24.13,13.0,54796.0,22.0,13.0,b'ack',55.0,b'-------',14.0,1704.0,16103.0,885665.0,b'Switch2',b'clien-13',6.38975,6.38975,6.399754,0.0,328.460278,18065.3,55.0,0.008446,0.0,6.369744,6.399754,1.030032,50.055747,b'Normal'
1.0,24.1,119236.0,23.0,24.0,b'tcp',1540.0,b'-------',2.0,3728.0,16091.0,24780100.0,b'Router',b'server1',12.463464,12.463464,12.473587,0.0,328.297855,505578.0,1540.0,0.236321,0.0,12.443218,12.473587,1.0,50.013418,b'Normal'
3.1,24.23,632219.0,3.0,21.0,b'cbr',1000.0,b'-------',24.0,5785.0,6250.0,6250000.0,b'clien-3',b'Switch1',71.28,71.28,71.29008,0.0,124.943226,124943.0,1000.0,0.059605,0.00048,71.28,71.31072,25.0,75.02272,b'Normal'
24.8,8.0,215060.0,23.0,21.0,b'ack',55.0,b'-------',9.0,6698.0,16088.0,884840.0,b'Router',b'Switch1',21.473442,21.473442,21.483445,0.0,328.113525,18046.2,55.0,0.008438,0.0,21.463438,21.493448,1.030054,50.061864,b'Normal'
0.2,24.42,18517.0,0.0,21.0,b'cbr',1500.0,b'-------',21.0,711.0,9108.0,13662000.0,b'client-0',b'switch1',18.261714,18.262074,18.272194,0.00036,1016.54917,1524820.0,1500.0,0.130291,0.03396,18.261714,18.295674,1.0,9.959724,b'UDP-Flood'
24.6,6.0,409284.0,21.0,6.0,b'ack',55.0,b'-------',7.0,11815.0,16091.0,885005.0,b'Switch1',b'clien-6',37.04213,37.04213,37.052133,0.0,328.19309,18050.6,55.0,0.00844,0.0,37.022123,37.052133,1.030048,50.059112,b'Normal'
24.8,8.0,521336.0,23.0,21.0,b'ack',55.0,b'-------',9.0,14634.0,16088.0,884840.0,b'Router',b'Switch1',45.626237,45.626237,45.63624,0.0,328.113525,18046.2,55.0,0.008438,0.0,45.616234,45.646243,1.030054,50.061864,b'Normal'
15.0,24.15,201202.0,22.0,23.0,b'tcp',1540.0,b'-------',16.0,6277.0,16092.0,24781700.0,b'Switch2',b'Router',20.167464,20.167464,20.177587,0.0,328.205808,505437.0,1540.0,0.236337,0.0,20.157341,20.18771,1.0,50.030211,b'Normal'
10.1,24.3,363831.0,23.0,24.0,b'cbr',1000.0,b'-------',31.0,1067.0,6250.0,6250000.0,b'Router',b'server1',33.556171,33.556294,33.566374,0.000123,124.944225,124944.0,1000.0,0.059605,0.000134,33.536,33.566374,25.0,75.02232,b'Normal'
3.0,24.3,90864.0,3.0,21.0,b'tcp',1540.0,b'-------',4.0,2841.0,16091.0,24780100.0,b'clien-3',b'Switch1',9.766574,9.766574,9.776698,0.0,328.240918,505490.0,1540.0,0.236321,0.0,9.766574,9.796944,1.0,50.02192,b'Normal'
24.11,11.0,245005.0,23.0,22.0,b'ack',55.0,b'-------',12.0,7638.0,16103.0,885665.0,b'Router',b'Switch2',24.291426,24.291426,24.301429,0.0,328.522947,18068.8,55.0,0.008446,0.0,24.281422,24.311432,1.030019,50.046382,b'Normal'
18.1,24.38,340592.0,22.0,23.0,b'cbr',1000.0,b'-------',39.0,844.0,6250.0,6250000.0,b'Switch2',b'Router',31.76208,31.76272,31.7728,0.00064,124.941028,124941.0,1000.0,0.059605,0.001373,31.752,31.783613,25.0,75.0236,b'Normal'
24.6,6.0,441864.0,24.0,23.0,b'ack',55.0,b'-------',7.0,12635.0,16091.0,885005.0,b'server1',b'Router',39.520376,39.520376,39.530379,0.0,328.19309,18050.6,55.0,0.00844,0.0,39.520376,39.550386,1.030048,50.059112,b'Normal'
24.15,15.0,238737.0,24.0,23.0,b'ack',55.0,b'-------',16.0,7438.0,16092.0,885060.0,b'server1',b'Router',23.690074,23.690074,23.700077,0.0,328.206042,18051.3,55.0,0.008441,0.0,23.690074,23.720083,1.030045,50.060221,b'Normal'
